SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"NBCC","96.01","96.44","94.78","96.25","95.33","-","-0.92","-0.96","4742088","45.26","125.85","77.18","0.58","-13.05"
"IREDA","120.50","121.90","119.55","121.02","119.80","-","-1.22","-1.01","4969707","59.82","163.35","108.65","-1.13","-17.13"
"SUPREMEIND","3,477.00","3,477.00","3,415.30","3,477.00","3,442.00","-","-35","-1.01","177284","60.96","4,664.90","3,140.00","8.26","-17.59"
"FORCEMOT","18,623.00","18,830.00","18,445.00","18,690.00","18,500.00","-","-190","-1.02","46841","87.01","26,450.00","14,911.00","3.56","2.24"
"POLYCAB","9,315.00","9,315.00","9,182.00","9,315.00","9,218.00","-","-97","-1.04","197996","182.97","10,126.00","6,620.00","-0.17","33.96"
"BAJAJHLDNG","11,400.00","11,428.00","11,263.00","11,387.00","11,263.00","-","-124","-1.09","25976","29.46","14,763.00","8,588.00","8.97","-18.27"
"TITAN","4,978.10","5,003.00","4,891.30","4,998.00","4,941.00","-","-57","-1.14","1166858","578.80","5,005.00","3,303.10","7.73","44.66"
"ICICIGI","1,646.10","1,658.70","1,631.40","1,658.00","1,639.00","-","-19","-1.15","395441","64.99","2,064.90","1,544.60","-9.16","-13.89"
"ICICIPRULI","509.60","509.60","501.05","507.00","501.05","-","-5.95","-1.17","974283","49.11","706.80","459.50","4.37","-19.02"
"NAUKRI","1,236.90","1,244.00","1,222.60","1,240.00","1,225.30","-","-14.7","-1.19","747939","92.07","1,437.80","908.30","3.93","-10.02"
"CONCOR","510.15","513.90","505.20","512.00","505.20","-","-6.8","-1.33","892002","45.39","583.00","421.45","11.92","-8.74"
"IEX","128.26","128.67","126.52","128.83","127.10","-","-1.73","-1.34","2475559","31.53","160.27","114.60","8.81","-4.77"
"MFSL","1,510.00","1,524.00","1,497.40","1,518.80","1,497.40","-","-21.4","-1.41","359409","54.31","1,892.50","1,433.60","-3.96","-0.5"
"AXISBANK","1,252.10","1,256.00","1,238.00","1,256.00","1,238.00","-","-18","-1.43","3628823","451.48","1,418.30","1,042.50","-5.46","15.03"
"NMDC","85.90","86.00","84.90","86.20","84.92","-","-1.28","-1.48","9354641","79.65","97.49","68.19","1.41","18.77"
"CAMS","801.00","801.05","778.05","799.45","787.50","-","-11.95","-1.49","1011683","79.36","844.90","611.40","5.03","-79.38"
"360ONE","1,185.60","1,192.80","1,151.00","1,186.00","1,168.10","-","-17.9","-1.51","1707560","200.44","1,236.20","906.05","7","9.64"
"PIDILITIND","1,675.00","1,675.00","1,648.10","1,686.00","1,660.00","-","-26","-1.54","917427","152.35","1,686.40","1,259.00","5.71","-45.59"
"GVT&D","4,366.70","4,398.00","4,270.10","4,366.70","4,299.00","-","-67.7","-1.55","758827","328.01","5,650.00","2,523.20","-3.75","54.16"
"GAIL","175.81","176.28","171.89","176.40","173.63","-","-2.77","-1.57","7005144","121.22","186.87","134.36","2.59","2.44"
"ANGELONE","297.05","298.75","289.05","297.10","292.00","-","-5.1","-1.72","4094497","119.47","360.45","208.63","-11.84","-88.95"
"ABB","7,657.50","7,670.00","7,580.00","7,735.00","7,600.00","-","-45","-0.59","179322","136.48","7,924.50","4,637.50","12.24","48.48"
"AUBANK","1,084.90","1,088.10","1,067.00","1,087.60","1,067.00","-","-20.6","-1.89","752130","81.05","1,105.90","682.15","2.71","43.56"
"NAM-INDIA","1,193.30","1,193.30","1,163.10","1,200.00","1,176.00","-","-24","-2","688856","80.98","1,233.50","780.25","0.68","45.19"
"SHRIRAMFIN","1,134.00","1,134.00","1,109.00","1,141.00","1,115.00","-","-26","-2.28","3239689","362.07","1,153.70","566.50","9.92","77.73"
"BIOCON","430.00","436.20","425.30","436.60","426.35","-","-10.25","-2.35","5265823","225.79","447.15","331.00","7.38","17.06"
"JIOFIN","263.10","263.40","256.80","263.10","256.80","-","-6.3","-2.39","10858220","281.56","333.70","223.30","11.66","-21.11"
"ICICIBANK","1,451.00","1,455.00","1,418.20","1,457.50","1,421.00","-","-36.5","-2.5","14395789","2,063.15","1,480.00","1,187.60","2.93","-1.34"
"GODREJCP","1,077.00","1,087.20","1,032.30","1,077.30","1,050.00","-","-27.3","-2.53","2659684","280.48","1,309.00","967.05","-2.34","-13.93"
"LTF","316.65","316.90","305.60","316.65","308.00","-","-8.65","-2.73","4814207","148.75","338.60","194.40","-2","53.78"
"SWIGGY","288.90","288.95","278.25","288.65","280.75","-","-7.9","-2.74","26303196","741.75","474.00","235.75","7.4","-29.55"
"ABCAPITAL","419.00","420.50","404.70","421.50","408.05","-","-13.45","-3.19","4840967","197.87","430.70","267.00","5.78","46.7"
"TRENT","3,106.50","3,106.50","2,985.60","3,107.10","2,997.00","-","-110.1","-3.54","2469173","745.66","3,782.67","2,183.67","2.5","-43.49"
"BLUESTARCO","1,563.80","1,595.00","1,497.00","1,571.00","1,514.00","-","-57","-3.63","2392270","364.92","2,040.00","1,450.00","-3.86","-17.15"
"BAJAJFINSV","2,050.00","2,050.00","1,988.00","2,086.00","2,008.90","-","-77.1","-3.7","2416624","485.17","2,195.00","1,597.00","8.3","4.96"
"CHOLAFIN","1,913.90","1,922.00","1,862.80","1,940.00","1,866.20","-","-73.8","-3.8","1617860","305.13","1,952.50","1,299.40","5.47","25.42"
"BAJFINANCE","1,113.00","1,113.00","1,074.50","1,144.80","1,078.00","-","-66.8","-5.84","15614001","1,702.30","1,176.40","787.90","6.69","22.63"
"CROMPTON","270.00","270.00","248.30","270.00","249.95","-","-20.05","-7.43","22616837","571.17","337.50","217.40","-3.46","-21.73"
